Product_ID,Gender,Age_Group,Marital_Status,State,Orders,Amount
P00125942,F,26-35,0,Maharashtra,1,23952
P00110942,F,26-35,1,Andhra Pradesh,3,23934
P00118542,F,26-35,1,Uttar Pradesh,3,23924
P00237842,M,0-17,0,Karnataka,2,23912
P00057942,M,26-35,1,Gujarat,2,23877
P00057942,M,26-35,1,Himachal Pradesh,1,23877
P00018042,F,18-25,1,Uttar Pradesh,4,23841
P00205642,M,26-35,0,Uttar Pradesh,2,23809
P00031142,F,26-35,1,Andhra Pradesh,4,23799.99
P00200842,M,26-35,0,Delhi,1,23770
P00119142,F,18-25,0,Andhra Pradesh,2,23752
P00080342,F,18-25,1,Andhra Pradesh,2,23730
P00324942,M,26-35,1,Andhra Pradesh,4,23718
P00289942,F,18-25,0,Andhra Pradesh,2,23664
P00004842,F,26-35,0,Andhra Pradesh,1,23619
P00029842,M,51-55,1,Uttar Pradesh,1,23568
P00029842,M,51-55,1,Uttar Pradesh,1,23568
P00180642,F,18-25,1,Andhra Pradesh,4,23546
P00181842,F,46-50,1,Uttar Pradesh,2,23525
P00101742,F,26-35,0,Andhra Pradesh,1,23518
P00271842,F,51-55,0,Uttar Pradesh,2,23515
P00317842,M,55+,0,Karnataka,3,23513
P00282642,F,26-35,0,Andhra Pradesh,3,23462
P00234742,F,36-45,0,Uttar Pradesh,3,23456
P00058042,F,18-25,1,Andhra Pradesh,4,23451
P00190542,M,51-55,1,Andhra Pradesh,2,23434
P00119642,F,36-45,1,Andhra Pradesh,3,23389
P00111642,F,18-25,0,Andhra Pradesh,2,23365
P00293342,F,26-35,1,Andhra Pradesh,3,23326
P00220042,F,36-45,0,Andhra Pradesh,2,23314
P00346242,F,26-35,1,Maharashtra,2,23306
P00080042,F,51-55,1,Andhra Pradesh,4,23302
P00111842,M,26-35,1,Jharkhand,1,23285
P00238542,M,18-25,1,Delhi,1,23281
P00048742,F,26-35,0,Andhra Pradesh,1,23270
P00310342,M,55+,1,Himachal Pradesh,4,23267
P00249542,F,18-25,1,Andhra Pradesh,4,23252
P00156442,M,26-35,0,Kerala,1,23247
P00144242,M,26-35,1,Uttar Pradesh,2,23246
P00122442,M,0-17,0,Andhra Pradesh,4,23239
P0096942,F,36-45,0,Andhra Pradesh,2,23201
P00201442,F,26-35,1,Andhra Pradesh,2,23185
P00036242,M,36-45,1,Andhra Pradesh,3,23160
P00113942,F,26-35,0,Andhra Pradesh,1,23154
P00121642,M,26-35,1,Delhi,3,23103
P00105042,F,26-35,0,Andhra Pradesh,4,23066
